Rut,Nombre,Apellido,Edad,Promedio_final,Carrera
19008949,Diana,Jackson,21,5,Claims inspector/assessor
69658298,Gregory,Jenkins,20,6,Gaffer
45321723,John,Williams,29,3,Immunologist
95559438,Aaron,Rice,24,7,Games developer
83977114,Nicole,Cunningham,27,1,Web designer
45366459,Heather,Gonzales,28,6,Land
69472017,Tracy,Vaughn,21,3,Ergonomist
2598538,Debbie,Hunt,21,7,Art therapist
97311473,Robert,Ball,23,1,Learning mentor
51623375,Lindsay,Curtis,28,3,Visual merchandiser
46947760,Rachel,Thompson,20,2,Health and safety adviser
81016527,James,Fletcher,30,1,Automotive engineer
44537254,Luke,Camacho,19,2,Retail banker
65004034,Isabel,Freeman,28,1,"Teacher, adult education"
56331906,Paul,Sanders,26,1,Music therapist
47399533,Lucas,Nelson,24,7,"Engineer, drilling"
62767127,Rita,Thomas,26,7,Call centre manager
95742920,Leslie,Sampson,24,5,Data processing manager
46203100,Michael,Ferrell,24,7,Retail buyer
5097540,Julie,Brown,28,1,"Programmer, systems"
95573623,Carol,Calhoun,20,1,Chartered legal executive (England and Wales)
23667677,Ricardo,Reyes,30,1,Arts administrator
95982673,Danielle,Gould,24,4,Dentist
96760784,Vanessa,Ayala,18,5,Forensic psychologist
4984457,Peggy,Jones,29,2,"Journalist, magazine"
95291846,Adam,Hanson,24,3,Chartered loss adjuster
56057031,Christopher,Mosley,23,1,"Geologist, engineering"
7675880,Ryan,Cox,19,5,Press photographer
90912388,Thomas,Hall,23,2,"Librarian, public"
98399208,Carrie,Quinn,28,1,Further education lecturer
36759503,Ashley,White,26,5,Adult nurse
65955418,Stephanie,Smith,25,4,"Engineer, electrical"
26416644,Matthew,Ibarra,22,3,"Engineer, drilling"
53002918,Lisa,Kim,21,5,Geoscientist
59185481,Amber,Hodges,22,3,Video editor
9813396,Theresa,Haynes,27,6,Teaching laboratory technician
52402704,John,Gillespie,25,2,Counsellor
21951234,Erin,Wilson,25,6,Solicitor
66324334,Michael,Scott,28,5,Police officer
68912662,Elaine,Maldonado,24,5,Further education lecturer
65178497,Amanda,Jordan,27,7,Mudlogger
2640046,James,Rose,25,1,Applications developer
18852137,Melanie,Rogers,28,6,Chartered accountant
1259584,Steven,Soto,30,4,Artist
87906987,Jessica,Jimenez,20,6,Clothing/textile technologist
11854794,Adam,Shah,20,7,Teaching laboratory technician
7341912,Cory,Dunlap,18,7,Optometrist
2854152,Amanda,Wright,29,2,Textile designer
98890681,Trevor,Brown,30,6,Tree surgeon
35990300,Timothy,Reyes,30,5,Planning and development surveyor
59313274,Kathryn,Johnson,29,4,Trading standards officer
85903976,Mercedes,Griffin,30,5,"Surveyor, building control"
25911118,Carlos,Martin,22,7,Chief Strategy Officer
1453034,Jason,Andrews,20,1,"Radiographer, diagnostic"
13275213,Katherine,Gilmore,19,6,Patent examiner
72616216,Jennifer,Edwards,27,5,"Designer, multimedia"
53404577,Amber,Reyes,28,4,Information officer
17042536,Thomas,Bray,24,1,Herbalist
94146196,Richard,Gregory,24,6,Leisure centre manager
63879208,Henry,Yang,23,4,IT technical support officer
