Rut,Nombre,Apellido,Edad,Promedio_final,Carrera
62777144,Tony,King,25,6,"Horticulturist, commercial"
12336143,Michael,Ho,24,5,Osteopath
4132267,Jacqueline,Taylor,22,2,"Presenter, broadcasting"
36458604,Troy,Lindsey,28,4,Marine scientist
28176971,Lindsay,Johnson,24,3,Broadcast engineer
73558463,Marcus,Williams,23,3,Call centre manager
53810444,Nicholas,Elliott,19,3,Petroleum engineer
57087134,Juan,Scott,27,5,Chief Technology Officer
71491266,Jacob,Thomas,26,5,Animal nutritionist
9364610,Joseph,Jackson,28,1,Research scientist (maths)
23338544,Shelby,Dominguez,19,4,Clinical psychologist
8433022,Lauren,Williams,24,5,Acupuncturist
88456556,Patricia,Cabrera,22,7,Software engineer
92584737,Ricardo,Wilkins,24,2,Early years teacher
65757552,Laura,Brown,20,7,Quality manager
68871074,John,Roberts,26,5,Garment/textile technologist
29113277,Jason,Flores,28,1,Colour technologist
65571085,Jennifer,Schmidt,20,4,"Accountant, chartered certified"
98786752,Donna,Gonzalez,19,1,Sports therapist
12092477,Michael,Adams,29,5,Mining engineer
86302778,Christian,Thornton,28,2,"Psychologist, counselling"
5767118,Linda,Jones,26,6,Network engineer
67293417,Michael,Herman,26,6,Town planner
75547658,Amanda,Henderson,29,3,"Engineer, aeronautical"
50689000,Caleb,Stewart,24,6,Higher education lecturer
10208460,Marcus,Johnson,29,1,Teaching laboratory technician
95934739,Dylan,Flores,18,6,"Journalist, magazine"
81292471,Kathleen,Smith,21,7,Make
74130099,Jean,Anderson,20,5,Jewellery designer
49845250,Cody,Torres,30,2,Industrial/product designer
37979491,Alan,Forbes,24,5,"Nurse, adult"
71483490,Alexander,Li,25,7,Marketing executive
21837445,Laura,Compton,22,7,Environmental manager
14336355,Jennifer,Williams,22,1,Architectural technologist
54141089,Peter,Tate,30,3,"Research officer, political party"
89356837,Colton,Snow,21,3,Optometrist
2492468,Cynthia,Madden,27,5,Rural practice surveyor
89292268,Willie,Shaffer,30,2,Teaching laboratory technician
5663628,Alexander,Santiago,18,5,Outdoor activities/education manager
9733489,Maria,Jones,28,1,Community education officer
90469731,Katherine,Reese,26,4,Psychiatric nurse
95774419,James,Black,23,6,Paramedic
83914070,Daniel,Davis,19,3,"Secretary, company"
80153887,Amber,Wong,19,1,"Engineer, biomedical"
18303672,Patricia,Ruiz,22,6,Landscape architect
66462070,Dustin,Ayala,18,4,Private music teacher
44116281,Monique,Austin,29,6,"Civil engineer, contracting"
16036195,Stephen,Martinez,19,5,"Surveyor, planning and development"
39032693,Susan,Jones,24,5,Biomedical scientist
39835099,Holly,Christensen,25,5,"Psychologist, counselling"
40538121,Leslie,Rose,23,1,Systems analyst
56854894,Renee,Nguyen,21,7,"Designer, fashion/clothing"
38085993,Christopher,Freeman,30,4,Diplomatic Services operational officer
71287708,Mark,Ramirez,20,7,IT technical support officer
70033727,Charlotte,Johnson,19,5,Early years teacher
76173884,Nancy,Stokes,25,6,"Therapist, occupational"
57729043,Kathryn,Blevins,20,4,Pathologist
91665321,Mary,Hoffman,28,4,"Development worker, community"
5237592,Joseph,Mitchell,27,4,Sports therapist
81630814,Andrew,Leach,26,5,Trade mark attorney
89359233,James,Daniels,23,1,Drilling engineer
83732195,Mary,Price,22,1,Microbiologist
18769629,Courtney,Doyle,21,5,Immigration officer
77999522,Erik,Brown,26,6,IT consultant
46819128,Michelle,Maldonado,28,2,Communications engineer
97628526,Rachel,Adkins,27,1,"Secretary, company"
41728865,Sarah,Gray,24,7,Product designer
80554042,Grant,Harris,30,5,"Optician, dispensing"
79144401,Michael,Henderson,24,3,Systems analyst
71972050,Jessica,Weeks,26,4,Consulting civil engineer
74818827,Stephanie,Costa,25,7,Scientific laboratory technician
6167643,Ronald,Meyer,23,5,Media buyer
64537638,Robert,Meza,25,7,Barista
38702043,Joel,Phelps,19,3,Paediatric nurse
27760206,Aaron,Flores,30,7,Television production assistant
24993869,James,Chambers,28,5,Regulatory affairs officer
24158773,Eduardo,Sherman,19,7,Environmental education officer
73041618,Paula,Roberts,18,5,Industrial/product designer
66564047,Anthony,Lang,26,1,Press sub
28551574,William,Garcia,25,5,Social worker
86412631,Taylor,Williams,30,5,Sales executive
76695346,Kathryn,Moore,18,4,Police officer
30443649,Samuel,Walsh,28,5,Multimedia programmer
22928977,Kevin,Wells,25,4,Geophysicist/field seismologist
34320108,Charles,Day,28,7,Energy engineer
61140988,Jennifer,Thomas,26,4,"Therapist, art"
83717503,Steven,Smith,25,3,Production manager
65803948,Sara,Brown,23,7,Telecommunications researcher
9784437,Catherine,Potter,30,5,Patent attorney
45484941,David,Gentry,24,4,Occupational hygienist
80207916,Sheila,Warner,20,6,Wellsite geologist
89541400,Erica,Little,29,5,"Designer, textile"
16843632,Stacey,Martin,20,1,Holiday representative
49219599,Joshua,Stephens,21,3,Environmental consultant
22144657,Nicole,Wilson,30,4,Publishing copy
34971664,Brent,Austin,28,5,Toxicologist
6386116,Adam,Brennan,22,3,Interior and spatial designer
15097554,Erik,Miller,24,6,Field seismologist
60727311,Miranda,Myers,20,4,Education administrator
39412208,Brian,Reyes,29,7,Occupational psychologist
15889589,Scott,Wilson,26,7,Manufacturing systems engineer
46315576,Sandra,Jenkins,25,7,Furniture designer
6599006,Robert,Rodriguez,27,3,Investment analyst
72089293,Kimberly,Martin,18,7,Research scientist (medical)
45249333,Theodore,Miller,22,1,"Engineer, manufacturing systems"
98463663,Mark,Lamb,23,1,Tourist information centre manager
41549924,Alexander,Wilson,20,3,Actuary
36942621,Carol,Martinez,27,6,Chief Marketing Officer
25842892,Terri,Gonzalez,24,2,"Horticulturist, commercial"
68440170,Aaron,Smith,27,1,"Scientist, forensic"
2208327,Shawn,Caldwell,21,5,Insurance broker
99015684,Sonya,Clarke,24,5,Hospital doctor
1704134,David,Franklin,20,7,Psychotherapist
15094135,Cynthia,Morgan,24,6,Advertising copywriter
82600548,Vanessa,Stewart,18,2,"Conservator, museum/gallery"
8079588,Heather,Lewis,26,1,"Scientist, research (physical sciences)"
11465138,Frank,Jackson,27,6,Logistics and distribution manager
25302133,Charles,Carr,25,3,English as a foreign language teacher
22235647,Justin,Carter,23,2,"Scientist, research (life sciences)"
13566540,Joseph,Montes,29,1,"Psychologist, forensic"
66386948,Bobby,Morgan,29,3,"Development worker, community"
